Date,Open,High,Low,Close,Adj Close,Volume
02-01-2020,74.059998,75.150002,73.797501,75.087502,72.960457,135480400
03-01-2020,74.287498,75.144997,74.125,74.357498,72.251137,146322800
06-01-2020,73.447502,74.989998,73.1875,74.949997,72.826851,118387200
07-01-2020,74.959999,75.224998,74.370003,74.597504,72.484352,108872000
08-01-2020,74.290001,76.110001,74.290001,75.797501,73.650352,132079200
09-01-2020,76.809998,77.607498,76.550003,77.407501,75.214737,170108400
10-01-2020,77.650002,78.167503,77.0625,77.582497,75.384781,140644800
13-01-2020,77.910004,79.267502,77.787498,79.239998,76.995331,121532000
14-01-2020,79.175003,79.392502,78.042503,78.169998,75.955643,161954400
15-01-2020,77.962502,78.875,77.387497,77.834999,75.630135,121923600
16-01-2020,78.397499,78.925003,78.022499,78.809998,76.577515,108829200
17-01-2020,79.067497,79.684998,78.75,79.682503,77.425308,137816400
21-01-2020,79.297501,79.754997,79,79.142502,76.900589,110843200
22-01-2020,79.644997,79.997498,79.327499,79.425003,77.175079,101832400
23-01-2020,79.480003,79.889999,78.912498,79.807503,77.546753,104472000
24-01-2020,80.0625,80.832497,79.379997,79.577499,77.323273,146537600
27-01-2020,77.514999,77.942497,76.220001,77.237503,75.049568,161940000
28-01-2020,78.150002,79.599998,78.047501,79.422501,77.172668,162234000
29-01-2020,81.112503,81.962502,80.345001,81.084999,78.788071,216229200
30-01-2020,80.135002,81.022499,79.6875,80.967499,78.673897,126743200
31-01-2020,80.232498,80.669998,77.072502,77.377502,75.185577,199588400
03-02-2020,76.074997,78.372498,75.555,77.165001,74.979095,173788400
04-02-2020,78.827499,79.910004,78.407501,79.712502,77.454453,136616400
05-02-2020,80.879997,81.190002,79.737503,80.362503,78.086021,118826800
06-02-2020,80.642502,81.305,80.065002,81.302498,78.999397,105425600
07-02-2020,80.592499,80.849998,79.5,80.0075,77.925591,117684000
10-02-2020,78.544998,80.387497,78.462502,80.387497,78.295723,109348800
11-02-2020,80.900002,80.974998,79.677498,79.902496,77.823326,94323200
12-02-2020,80.3675,81.805,80.3675,81.800003,79.671448,113730400
13-02-2020,81.047501,81.555,80.837502,81.217499,79.104111,94747600
14-02-2020,81.184998,81.495003,80.712502,81.237503,79.123596,80113600
18-02-2020,78.839996,79.9375,78.652496,79.75,77.674789,152531200
19-02-2020,80,81.142502,80,80.904999,78.799744,93984000
20-02-2020,80.657501,81.162498,79.552498,80.074997,77.991325,100566000
21-02-2020,79.654999,80.112503,77.625,78.262497,76.22599,129554000
24-02-2020,74.315002,76.044998,72.307503,74.544998,72.605225,222195200
25-02-2020,75.237503,75.6325,71.532501,72.019997,70.145943,230673600
26-02-2020,71.6325,74.470001,71.625,73.162498,71.258705,198054800
27-02-2020,70.275002,71.5,68.239998,68.379997,66.600647,320605600
28-02-2020,64.315002,69.602501,64.092499,68.339996,66.561676,426510000
02-03-2020,70.57,75.360001,69.43,74.702499,72.758636,341397200
03-03-2020,75.917503,76,71.449997,72.330002,70.447891,319475600
04-03-2020,74.110001,75.849998,73.282501,75.684998,73.715569,219178400
05-03-2020,73.879997,74.887497,72.852501,73.230003,71.324463,187572800
06-03-2020,70.5,72.705002,70.307503,72.2575,70.377258,226176800
09-03-2020,65.9375,69.522499,65.75,66.542503,64.810982,286744800
10-03-2020,69.285004,71.610001,67.342499,71.334999,69.47876,285290000
11-03-2020,69.347504,70.305,67.964996,68.857498,67.065735,255598800
12-03-2020,63.985001,67.5,62,62.057499,60.442677,418474000
13-03-2020,66.222504,69.980003,63.237499,69.4925,67.684212,370732000
16-03-2020,60.487499,64.769997,60,60.552502,58.976849,322423600
17-03-2020,61.877499,64.402496,59.599998,63.215,61.570057,324056000
18-03-2020,59.942501,62.5,59.279999,61.6675,60.062832,300233600
